_id,Fiscal_Year,Budget_Type,Organization_Entity,Command_Name,Pillar_Name,District_Name,Unit_Name,Feature_Category,Cost_Element,Cost_Element_Long_Name,Amount
1,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,3-Benefits,1773,OMERS - Uniform,94200
2,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,4-Materials & Supplies,2020,Books & Magazines,500
3,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,4-Materials & Supplies,2999,Miscellaneous materials,1500
4,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,4-Materials & Supplies,2080,Photo / Video supplies,4600
5,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,4-Materials & Supplies,2010,Stationery and office supplies,7800
6,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,5-Equipment,3420,Computers - software,60000
7,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,5-Equipment,3982,Video production equipment,15000
8,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4230,Business travel - other expenses,200
9,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4255,Conferences / seminars,5100
10,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4093,Consulting - Creative communication,100000
11,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4424,Contracted Services - general,165400
12,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4815,Courier services,100
13,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4312,Courses / seminars,1900
14,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4813,Internet,20000
15,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4770,Parking expenses,200
16,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4084,Public relations / promotions,21200
17,2023,Approved Budget,1 - Toronto Police Service,Chief of Police,Corporate Communications,Corporate Communications,Corporate Communications,6-Services,4516,Repairs - technical equipment,7500
