x_id,organization_entity,feature_category,cost_element_long_name,amount,date
1,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,94200,2023-12-31
2,1 - Toronto Police Service,4-Materials & Supplies,Books & Magazines,500,2023-12-31
3,1 - Toronto Police Service,4-Materials & Supplies,Miscellaneous materials,1500,2023-12-31
4,1 - Toronto Police Service,4-Materials & Supplies,Photo / Video supplies,4600,2023-12-31
5,1 - Toronto Police Service,4-Materials & Supplies,Stationery and office supplies,7800,2023-12-31
6,1 - Toronto Police Service,5-Equipment,Computers - software,60000,2023-12-31
7,1 - Toronto Police Service,5-Equipment,Video production equipment,15000,2023-12-31
8,1 - Toronto Police Service,6-Services,Business travel - other expenses,200,2023-12-31
9,1 - Toronto Police Service,6-Services,Conferences / seminars,5100,2023-12-31
10,1 - Toronto Police Service,6-Services,Consulting - Creative communication,100000,2023-12-31
11,1 - Toronto Police Service,6-Services,Contracted Services - general,165400,2023-12-31
12,1 - Toronto Police Service,6-Services,Courier services,100,2023-12-31
13,1 - Toronto Police Service,6-Services,Courses / seminars,1900,2023-12-31
14,1 - Toronto Police Service,6-Services,Internet,20000,2023-12-31
15,1 - Toronto Police Service,6-Services,Parking expenses,200,2023-12-31
16,1 - Toronto Police Service,6-Services,Public relations / promotions,21200,2023-12-31
17,1 - Toronto Police Service,6-Services,Repairs - technical equipment,7500,2023-12-31
18,1 - Toronto Police Service,6-Services,Services & rents - general,18000,2023-12-31
19,1 - Toronto Police Service,6-Services,Telephone,31000,2023-12-31
20,1 - Toronto Police Service,6-Services,VPU - services,4900,2023-12-31
21,1 - Toronto Police Service,6-Services,Wireless devices,1800,2023-12-31
22,1 - Toronto Police Service,6-Services,Wireless services,17000,2023-12-31
23,1 - Toronto Police Service,1-Salaries,Regular salaries - Civilian A,152600,2023-12-31
24,1 - Toronto Police Service,1-Salaries,Regular salaries - Uniform Sr. Officer,400100,2023-12-31
25,1 - Toronto Police Service,2-Premium Pay,Lieutime premium pay - Civilian,600,2023-12-31
26,1 - Toronto Police Service,3-Benefits,CPP - Civilian,7600,2023-12-31
27,1 - Toronto Police Service,3-Benefits,CPP - Uniform,7600,2023-12-31
28,1 - Toronto Police Service,3-Benefits,EI - Civilian,2600,2023-12-31
29,1 - Toronto Police Service,3-Benefits,EI - Uniform,2600,2023-12-31
30,1 - Toronto Police Service,3-Benefits,OMERS - Civilian,14500,2023-12-31
31,1 - Toronto Police Service,3-Benefits,OMERS - Uniform,52800,2023-12-31
32,1 - Toronto Police Service,4-Materials & Supplies,Books & Magazines,400,2023-12-31
